1,GR2AX,Ghana,Ashanti,Adagya,6.9468405,-1.7589658,Corn,None,White,Mar,2022,Maize ,No,None,Yes,Poultry manure,Broadcast,Sep,2022,No,Yes,NAN,NAN,NAN
2,GR5BX,Ghana,Brong Ahafo,Anikroma,6.811968,-1.7556054,Okra,None,Short,May,2022,Okro ,Yes,NPK 15-15-15,Yes,Poultry manure,NAN,Jul,2022,No,Yes,Monocropping,Yes,NAN
3,GR5AO,Ghana,Brong Ahafo,Anikroma,6.805401,-1.7461643,Okra,None,Long,Jul,2022,Vegetable,Yes,NPK 15-15-15,Yes,Poultry manure,NAN,Nov,2022,No,Yes,Mixed,Yes,NAN
4,GR5AX,Ghana,Brong Ahafo,Anikroma,6.811968,-1.7556054,Okra,None,Long,Feb,2022,Okro,Yes,NPK 15-15-15,No,None,NAN,Sep,2022,No,Yes,Monocropping,Yes,NAN
5,GR5BO,Ghana,Brong Ahafo,Anikroma,6.805401,-1.7461643,Okra,None,Short,Jul,2022,Vegetable,Yes,NPK 15-15-15,Yes,Poultry manure,Band,Nov,2022,No,Yes,Mixed,Yes,NAN
6,GS2AX,Ghana,Brong Ahafo,Atebubu,7.499237,-1.6668735,Corn,None,White,Apr,2022,Maize,Yes,NPK 23-10-5,No,None,Split,Aug,2022,Yes,Yes,NAN,NAN,NAN
7,GS4BX,Ghana,Ashanti,Ayerede,7.4127278,-1.3899878,Rice,None,Short grain,Jun,2022,Rice,No,None,No,None,None,Nov,2022,No,Yes,NAN,NAN,NAN
8,GS4AO,Ghana,Ashanti,Ayerede,7.440052,-1.4615776,Rice,None,Long grain,May,2022,Rice,No,None,No,None,None,Nov,2022,Yes,Yes,NAN,NAN,NAN
9,GS4AX,Ghana,Ashanti,Ayerede,7.4423499,-1.5070263,Rice,None,Long grain,May,2022,Rice,No,None,No,None,None,Nov,2022,No,Yes,NAN,NAN,NAN
10,GS2BX,Ghana,Brong Ahafo,Dandwa,7.5407475,-1.902752,Corn,None,Yellow,Apr,2022,Cowpea,Yes,NPK and Urea,No,None,Point placement,Jul,2022,No,Yes,NAN,NAN,NAN
11,GS2AO,Ghana,Brong Ahafo,Dandwa,7.5551791,-1.7521507,Corn,None,White,Aug,2022,Maize,Yes,NPK 23-10-5,No,None,Point placement,Nov,2022,Yes,Yes,NAN,NAN,NAN
12,GS2BO,Ghana,Brong Ahafo,Dandwa-Dromakese,7.5153871,-1.67478,Corn,None,Yellow,Apr,2022,Groundnut,Yes,NPK 15-15-15,No,None,Point placement and split,Aug,2022,Yes,Yes,NAN,NAN,NAN
13,GS5BX,Ghana,Brong Ahafo,Donkeronkwanta,7.4070043,-1.6095769,Okra,None,Short,Oct,2022,Maize,Yes,NPK 23-10-5,No,None,NAN,Nov,2022,Yes,Yes,NAN,NAN,NAN
14,GS1AX,Ghana,Brong Ahafo,Ejura,7.553385,-1.6958072,Cassava,None,Low cyanide,Apr,2022,Groundnut - mixed farm with cassava,No,None,No,None,None,Nov,2022,No,Yes,Mixed,NAN,NAN
15,GS4BO,Ghana,Brong Ahafo,Ejura - Ayerede,7.4808335,-1.6441924,Rice,None,Short grain,Jul,2022,Rice,No,None,No,None,None,Nov,2022,No,Yes,NAN,NAN,NAN
16,GS1BX,Ghana,Brong Ahafo,Fiaso - Dandwa,7.51603,-1.6824625,Cassava,None,High cyanide,Sep,2022,Cassava,No,None,No,None,None,Oct,2022,No,No,NAN,NAN,NAN
17,GS3BO,Ghana,Brong Ahafo,Grumakrom,7.4919802,-1.6601036,Cowpea,None,Brown,Aug,2022,Cowpea,No,None,No,None,None,Nov,2022,Yes,Yes,NAN,NAN,NAN
18,GS3BX,Ghana,Brong Ahafo,Grumakrom,7.3805545,-1.3499457,Cowpea,None,Brown,Jul,2022,Maize,No,None,No,None,None,Nov,2022,Yes,Yes,NAN,NAN,NAN
19,GS3AO,Ghana,Brong Ahafo,Grumakrom,7.5407116,-1.1986524,Cowpea,None,White,Jul,2022,Maize,No,None,No,None,None,Nov,2022,Yes,Yes,NAN,NAN,NAN
20,GS3AX,Ghana,Brong Ahafo,Grumakrom - Atebubu,7.5923748,-1.1682063,Cowpea,None,White,Aug,2022,Maize,No,None,No,None,None,Nov,2022,No,Yes,NAN,NAN,NAN
21,GS5AX,Ghana,Brong Ahafo,Kintampo,8.0249452,-1.7279642,Okra,Ladies finger,Long,Aug,2022,Maize,Yes,NPK 23-10-5,No,None,NAN,Nov,2022,Yes,Yes,NAN,NAN,NAN
22,GS5AO,Ghana,Brong Ahafo,Kintampo,8.0808141,-1.7147674,Okra,None,Long,Aug,2022,Okro,Yes,NPK 23-10-5,No,None,NAN,Oct,2022,Yes,No,NAN,NAN,NAN
23,GS5BO,Ghana,Brong Ahafo,Kranka,7.682405,-1.815188,Okra,None,Short,Aug,2022,Okro,Yes,NPK 23-10-5,No,None,NAN,Oct,2022,Yes,Yes,NAN,NAN,NAN
24,GS1AO,Ghana,Brong Ahafo,Nkoranza,7.636541,-1.7224023,Cassava,None,Low cyanide,Apr,2022,Groundnut,No,None,No,None,None,Nov,2022,No,No,Mixed,NAN,NAN
25,GS1BO,Ghana,Brong Ahafo,Nkoranza - Jema,7.9080849,-1.7593092,Cassava,None,High cyanide,Apr,2022,Maize,No,None,No,None,None,Oct,2022,Yes,No,NAN,NAN,NAN
26,GR2AO,Ghana,Ashanti,Old Offinso,6.9051929,-1.6601479,Corn,None,White,Apr,2022,Plantain,No,None,No,None,None,Aug,2022,No,No,Mixed,NAN,Yes
29,GR1BO,Ghana,Ashanti,Sakamukrom,6.995575,-1.696536,Cassava,None,High cyanide,Apr,2022,Maize,No,None,Yes,Poultry manure,Broadcast,Oct,2022,No,Yes,NAN,NAN,NAN
31,GR1AX,Ghana,Ashanti,Sakamukrom,6.8325168,-1.7307094,Cassava,None,Low cyanide,Apr,2022,Maize,No,None,No,None,None,Sep,2022,Yes,No,NAN,NAN,NAN
